vi_wseg,labels
"Việc đóng_góp ý_kiến của các cơ_quan , tổ_chức , cán_bộ , đảng_viên và nhân_dân trong huyện vào các dự_thảo văn_kiện đại_hội đảng_bộ các cấp , nhất_là Đại_hội XVIII Đảng_bộ huyện , Đại_hội XX Đảng_bộ tỉnh và Đại_hội XIII của Đảng .",Politics
"Hướng_dẫn các chủ đầu_tư dự_án nhà ở sinh_viên sử_dụng thiết_kế mẫu , thiết_kế điển_hình ;",Social
"Hiện_nay , tình_hình thời_tiết đang chuyển dần sang mùa mưa_bão , tình_hình rét lạnh , lụt_bão có_thể xảy ra bất_cứ lúc_nào , điều_kiện thời_tiết diễn_biến phức_tạp sẽ tác_động bất_lợi đến sự sinh_trưởng , phát_triển của đàn gia_súc , gia_cầm và là nguyên_nhân phát_sinh dịch_bệnh .",Social
"Tổng_hợp , báo_cáo kết_quả định_kỳ và đột_xuất :",Politics
"Ngày_xưa , có hai con quỷ cùng tên là Prôm thường xuống vùng sông Kôn để ăn thịt dân_làng Ba na . Thỉnh_thoảng , chúng còn xuôi xuống tận hạ_lưu để ăn thịt người Chăm .",Usual
"Và chi_phí học_tập khác không vượt quá 5% thu_nhập bình_quân hộ gia_đình ở mỗi vùng ,",Social
"Có đứa đến từ chập_tối , lấy chổi quét sạch chỗ trước .",Usual
Thế đi cắt cỏ_gianh phải mang gì đi ?,Usual
Sở Giáo_dục và Đào_tạo,Education
"Như mọi chủ_nhật , lúc đó Yôl ngủ dậy muộn .",Usual
Bà ấy đã lấy chồng ở làng bên nên thường về thăm nhà .,Usual
Làng có khoảng trên tám mươi gia_đình người Ba na .,Social
"Điều 3 . Chánh Văn_phòng UBND tỉnh , Giám_đốc các Sở :",Politics
"Có_thể nói , sau 15 năm qua tái định_cư , tình_hình kinh_tế - xã_hội ở xã vùng_cao Vĩnh_Thuận có nhiều chuyển_biến tích_cực , quốc_phòng - an_ninh đảm_bảo , đời_sống vật_chất và tinh_thần của người_dân được cải_thiện đáng_kể , góp_phần xây_dựng Đảng , xây_dựng chính_quyền trong_sạch , vững_mạnh",Social
"Có lúc thì theo sau , lúc thì vụt chạy lên trước , có_vẻ vui_thích lắm .",Usual
"Lúc đầu , Yôl cùng chị_gái sang thăm .",Usual
"Đối_với những địa_phương có tỷ_lệ đồng_bào dân_tộc_thiểu_số cao và ở cách xa trung_tâm huyện như xã Vĩnh_Sơn , Vĩnh_Kim , Trung_tâm y_tế huyện đã triển_khai đồng_loạt các giải_pháp , nhằm đảm_bảo cho nhu_cầu chăm_sóc sức_khoẻ tốt nhất cho người_dân ở đây",Social
"Đến thăm làng Tà_Điệk , xã Vĩnh_Hảo , có_thể dễ_dàng nhận ra những đổi_thay trong đời_sống của đồng_bào Bana ở đây từ những ngôi nhà mái ngói đỏ tươi , từ những con đường hoa được bà_con trồng và chăm_sóc tạo nên cảnh quang tươi_mát của ngôi làng vùng_cao",Social
"Trong quá_trình tổ_chức thực_hiện kế_hoạch , nếu cần_thiết sửa_đổi , bổ_sung những nội_dung cụ_thể , các sở , ban , ngành , cơ_quan , đơn_vị , địa_phương có liên_quan đề_xuất kịp_thời về Sở Nông_nghiệp và Phát_triển nông_thôn để tổng_hợp , báo_cáo Uỷ_ban_nhân_dân tỉnh xem_xét , quyết_định",Politics
Chú_ý : Sử_dụng thuốc theo nồng_độ ghi ở nhãn thuốc .,Science
Hôm_qua chú đan được mười cái .,Usual
Hôm_qua anh rể đan được 100 cái .,Usual
"Sau 3 - 4 lứa thấy cánh mộc_nhĩ mỏng , bé thì ngừng tưới 2 - 3 tuần để khô gỗ rồi chăm_sóc tiếp như lúc đầu_ra giàn .",Science
"Đứng trên công_trình kè chống xói_lở bờ sông Kôn đang được xây_dựng , bà_con ở đây ai cũng cảm_thấy rất vui_mừng vì từ nay hình_ảnh thường dòng lũ xiết cuốn cây rừng xô ầm_ầm vào tường nhà , hay những mảng đất lở cuốn theo hoa_màu vào lòng_sông Kôn vào mỗi mùa mưa_lũ sẽ không còn nữa",Social
Làng có khoảng trên một trăm gia_đình người Ba na .,Social
"Sáng ngày 24.9 , Phòng Dân_tộc huyện Vĩnh_Thạnh phối_hợp Công_ty cổ_phần muối và thực_phẩm Bình_Định tổ_chức cấp_phát tổng_cộng 30.450 kg muối I-ốt cho 5.075 nhân_khẩu là người đồng_bào dân_tộc_thiểu_số trên địa_bàn 2 xã Vĩnh_Kim và Vĩnh_Sơn , bình_quân mỗi nhân_khẩu được nhận 6 kg muối",Social
Tiến đến xây_dựng hồ_sơ trình UNESCO công_nhận Võ cổ_truyền Bình_Định là di_sản văn_hoá phi vật_thể của nhân_loại .,Social
Thường_trực Hội_đồng_nhân_dân tỉnh làm_việc với Hội_đồng trẻ_em,Politics
"Cục Quản_lý thị_trường : Phối_hợp các cơ_quan liên_quan , tăng_cường các biện_pháp kiểm_soát lưu_thông , mua_bán động_vật , sản_phẩm động_vật ; kịp_thời phát_hiện , xử_lý nghiêm các trường_hợp vi_phạm .",Politics
"Phối_hợp cùng lực_lượng các xã , thị_trấn , Công_ty TNHH LN Sông Kôn và BQL rừng_phòng_hộ tổ_chức kiểm_tra truy_quét rừng , tập_trung khu_vực trọng_điểm về phá rừng , khai_thác gỗ ; thường_xuyên giám_sát hoạt_động sản_xuất nương_rẫy , ngăn_ngừa tình_trạng lấn rừng , rong rừng",Social
"Min_Địch kể lại đầu_đuôi câu_chuyện . Con trăn đào một gùi đầy củ_mài rồi đưa nàng về nhà . Đến nhà của Min_Địch , trăn lột_xác biến thành một chàng trai tuấn_tú và hỏi cưới Min_Địch .",Usual
"Phạm_vi tuyển_dụng : Tuyển_dụng_viên_chức vào làm_việc tại các cơ_sở giáo_dục trung_học_cơ_sở , tiểu_học , mầm_non thuộc các huyện :",Education
Bình_minh dượng đi chợ bán củi .,Usual
"Ông Nguyễn_Huỳnh_Huyện , Phó Trưởng ban Ban Tuyên_giáo Tỉnh_uỷ .",Politics
Dượng đang đan 9 cái nữa .,Usual
Cậu đang đan ba cái nữa .,Usual
Làng có khoảng trên mười gia_đình người Chăm .,Social
"Bà Lê_Thị_Vinh_Hương , Phó Giám_đốc Sở Du_lịch",Politics
Chỉ bị bong_gân thôi .,Usual
"Má mua cho Yôl một cái quần màu xanh , một cái quần màu tím .",Usual
"Công_tác tổ_chức cán_bộ được quan_tâm chỉ_đạo đi vào nề_nếp , thực_hiện cơ_bản tốt các khâu trong công_tác cán_bộ ; công_tác lãnh_đạo , chỉ_đạo , hướng_dẫn việc kiểm_điểm , đánh_giá , xếp loại chất_lượng năm 2019 đối_với tổ_chức đảng , đảng_viên và tập_thể , cá_nhân cán_bộ lãnh_đạo , quản_lý các cấp đảm_bảo theo quy_định ; năm qua , huyện Vĩnh_Thạnh cũng đã thực_hiện hoàn_thành việc sắp_xếp các tổ_chức cơ_sở đảng phù_hợp với sắp_xếp tổ_chức bộ_máy tại một_số cơ_quan , đơn_vị",Politics
"Công_an tỉnh , Bộ_Chỉ_huy Bộ_đội Biên_phòng tỉnh , Sở Lao_động - Thương_binh và Xã_hội , Sở Nông_nghiệp và Phát_triển nông_thôn ,",Politics
"Chọn tạo giống vật_nuôi chủ_lực có năng_suất , chất_lượng cao , kháng bệnh , giống thích_ứng với biến_đổi khí_hậu .",Science
"Có bằng tốt_nghiệp trung_cấp trở lên chuyên_ngành văn_thư lưu_trữ , nếu tốt_nghiệp chuyên_ngành khác thì phải có chứng_chỉ bồi_dưỡng bổ_sung kiến_thức nghiệp_vụ văn_thư ;",Education
"Như mọi chủ_nhật , hôm_kìa Yôl ngủ dậy muộn .",Usual
"Về cơ_chế , chính_sách , đối_tượng hỗ_trợ , mức hỗ_trợ kinh_phí trong phòng , chống bệnh Dịch_tả heo Châu_Phi , Ngân_sách địa_phương tiếp_tục hỗ_trợ cho việc tiêu_huỷ heo mắc bệnh theo Quyết_định số 2310 / QĐ-UBND ngày 05/7/2019 cho đến khi có Quyết_định mới của Chính_phủ .",Politics
"Phối_hợp với các địa_phương chuẩn_bị các điều_kiện , cơ_sở vật_chất phục_vụ hoạt_động biểu_diễn võ_thuật của các đoàn võ_thuật trong nước và quốc_tế .",Social
"Thực_hiện hỗ_trợ khoán , chăm_sóc quản_lý bảo_vệ rừng ; hỗ_trợ mua vắc sin tiêm phòng , phòng_chống dịch_bệnh cho động_vật ;",Social
"Đẩy_mạnh sản_xuất theo hướng thâm_canh , chuyển_đổi mùa_vụ , đưa các loại giống cây , con có giá_trị kinh_tế cao vào sản_xuất để nâng cao giá_trị thu_nhập",Science
"Trong đó , có 11 suất với mức 400 nghìn đồng , 991 suất 200 nghìn đồng . Tổng kinh_phí thực_hiện với số tiền hơn 202 triệu đồng",Social
Mục_tiêu cụ_thể đến năm 2030,Social
Chi_phí quản_lý dự_án :,Politics
Bác đang đan một trăm cái nữa .,Usual
Sản_phẩm rau_an_toàn Vĩnh_Sơn hiện đã có_mặt tại hệ_thống siêu_thị Big_C khu_vực miền Trung,Social
Bình_minh mới đan được 3 cái .,Usual
"Phối_hợp với Bộ Nông_nghiệp và Phát_triển nông_thôn xây_dựng , điều_chỉnh các chính_sách triển_khai thực_hiện Chương_trình .",Politics
"Bà Nguyễn_Đặng_Thị_Thu Hoà , Phó Giám_đốc Sở Thông_tin và Truyền_thông ;",Politics
Lúc nãy mới đan được hai cái .,Usual
Hôm_qua anh_trai đan được 2 cái .,Usual
Về các vấn_đề liên_quan đến trẻ_em tại địa_phương . Hội_đồng trẻ_em là một trong những kênh quan_trọng đại_diện cho tiếng_nói của trẻ_em toàn tỉnh .,Social
Yêu_cầu các yếu_tố môi_trường ở từng giai_đoạn phát_triển của mộc_nhĩ rất khác nhau .,Social
Yôl rất tự_hào về cá nhà mình .,Usual
Sang trường công_lập hoạt_động theo cơ_chế tự_chủ tài_chính được ngân_sách nhà_nước hỗ_trợ,Politics
"Đến năm 2025 , phấn_đấu tỷ_lệ lấp đầy Khu kinh_tế Nhơn_Hội đạt 55% diện_tích với các nhiệm cụ_thể như sau",Social
Căn_cứ Pháp_lệnh Phí và Lệ_phí ngày 28/8/2001,Politics
Hôm kỉa mới đan được bốn cái .,Usual
Tất_cả là 7 cái .,Usual
"Theo đó , học_sinh Trung_học_cơ_sở và Trung_học_phổ_thông ; học_viên Trung_tâm GDNN - GDTX huyện Vĩnh_Thạnh đi học trở_lại từ ngày 27.4.2020",Social
"Cày sâu 20 – 25cm , cày 2 lần , mỗi lần cách nhau 10 – 15 ngày , bừa 2 lần ( lần 1 sau khi cày lật lần 1 khoảng 7 – 15 ngày và bừa lần 2 sau khi cày lần 2 từ 5 – 7 ngày ) .",Science
"Ngày 19.10 , Ban Nữ công , Công_đoàn Văn phòng UBND tỉnh tổ chức thăm , giao_lưu và tặng quà cho đơn vị kết nghĩa Hội LHPN xã Vĩnh Hòa , huyện Vĩnh Thạnh",Social
"Các tổ_chức Đảng , chính_quyền , đoàn_thể ở địa_phương nhân "" Ngày Văn_hoá các dân_tộc Việt_Nam """,Politics
Nếu cháy rừng thì tất_cả chúng_tôi cùng dập lửa .,Usual
120 năm ngày_sinh Chủ_tịch Hồ_Chí_Minh ( 19/5 ) ; 65 năm ngày Quốc_khánh ( 02/9 ) ; đại_lễ kỷ_niệm 1.000 năm Thăng_Long - Hà_Nội ( 10/10 ) .,Politics
Hôm_qua chị_gái đan được 9 cái .,Usual
"Đồng_thời cấp 10 tấn phân_bón hữu_cơ vi_sinh cho nông_dân bón_lót trước khi trồng , nhằm tăng_cường các nguyên_tố dinh_dưỡng và độ mùn trong đất",Science
Nguồn kinh_phí của nông_dân .,Social
"Sáng nay , Yôl thường thả ngựa ở bãi có gần hồ , rồi đi lấy củi .",Usual
"Sở Giáo_dục và Đào_tạo cập_nhật phương_án PCTT và TKCN năm 2020 , bảo_đảm an_toàn tính_mạng học_sinh , giáo_viên",Education
"Tổ_chức tuyên_truyền , giới_thiệu , quảng_bá và các hoạt_động khác nhằm phát_huy giá_trị các di_tích lịch_sử - văn_hoá",Social
Thời_gian thực_hiện : Quý I / 2020 .,Politics
Căn_cứ Nghị_quyết 753/2005/NQ-UBTVQH11 ngày 02 tháng 4 năm 2005 của Uỷ_ban Thường_vụ Quốc_hội ban_hành Quy_chế hoạt_động của Hội_đồng_nhân_dân ;,Politics
"Lượng phân_bón cho điều thường được chia làm 2 đợt , đợt 1 bón vào đầu mùa mưa ( tháng 5 - 6 ) , đợt 2 bón vào cuối mùa mưa nhưng phải trước khi chấm_dứt mưa khoảng 1 tháng ( tháng 9-10 ) .",Science
Chỉ thấy tảng đá chị_gái hay ngồi bỗng xuất_hiện dòng chữ kì_lạ trông rất đẹp .,Usual
Hôm_qua bà đan được 2 cái .,Usual
Định_mức lượng giống lúa lai cho 1 ha gieo_trồng : 40 - 45 kg / ha .,Science
"Ở hầu_hết các xã , thị_trấn công_tác hoà_giải được làm tốt và được nhân_dân tin_tưởng , ủng_hộ ; hiệu_quả của công_tác này có tác_động rất lớn đến sự phát_triển kinh_tế – xã_hội , góp_phần tích_cực xây_dựng_gia_đình hạnh_phúc , xây_dựng khu dân_cư , làng văn_hoá và ổn_định tình_hình an_ninh trật_tự tại cơ_sở",Social
Hôm_qua bác đan được 10 cái .,Usual
Nhờ đó tình_hình KT-XH vùng đồng_bào dân_tộc_thiểu_số ở huyện Vĩnh_Thạnh đã có sự chuyển_biến rõ_rệt,Social
Lúc nãy ông đi chợ bán củi .,Usual
Ngày hôm_kia mới đan được tám cái .,Usual
"Trung_tâm Phát_triển quỹ đất tỉnh tổ_chức bồi_thường , giải_phóng mặt_bằng tạo quỹ đất để xây_dựng khu nhà ở sinh_viên tập_trung ;",Politics
"Sáng ngày 4.3 , Đảng_uỷ xã Vĩnh_Quang tổ_chức hội_nghị quán_triệt học_tập nội_dung chuyên_đề năm 2020 cho toàn_thể đảng_viên trong Đảng_bộ",Social
"Ở ngoài sân , ông Yôl đang nói_chuyện với 6 người lạ .",Usual
"Cải_cách hành_chính ; cải_cách tư_pháp ; phòng , chống tham_nhũng , lãng_phí ;",Politics
Sáng nay mới đan được 1000 cái .,Usual
"Sáng sớm , tớ đang đi học lớp chín ở trường làng .",Usual
Bố đang đan 8 cái nữa .,Usual
Xế trưa mới đan được tám cái .,Usual
"Nâng_cấp , mở_rộng các tuyến đường tỉnh kết_nối với vùng ven biển .",Social
Phối_hợp với Sở Tài_chính xây_dựng dự_toán kinh_phí tổ_chức kỳ thi .,Politics
Ngày_kia mới đan được 10 cái .,Usual
"Phong_trào thi_đua "" Dân_vận khéo """,Social
"Ở ngoài sân , dượng Yôl đang nói_chuyện với mười người lạ .",Usual
"Các ban , ngành , đoàn_thể tham_mưu giúp đảng_uỷ , UBND xã triển_khai thực_hiện các giải_pháp phát_triển kinh_tế - xã_hội , công_tác xây_dựng Đảng , xây_dựng chính_quyền và vận_động quần_chúng được tăng_cường",Politics
Thực_hiện Chương_trình hành_động số 16 - CTr / TU ngày 18/7/2013 của Tỉnh_uỷ Bình_Định,Politics
"Sở Y_tế chỉ_đạo , kiểm_tra các bệnh_viện , cơ_sở y_tế thực_hiện các biện_pháp bảo_đảm an_toàn khi xảy ra thiên_tai .",Politics
"Khi đó , mình đang đi học lớp 3 ở trường làng .",Usual
"Quyết_định số 36/2018/QĐ-UBND ngày 20/7/2018 của UBND tỉnh về việc ban_hành Quy_định một_số chính_sách ưu_đãi , hỗ_trợ đầu_tư xây_dựng công_trình cấp nước_sạch nông_thôn trên địa_bàn tỉnh ;",Politics
Quy_định quản_lý và sử_dụng kinh_phí chăm_sóc sức_khoẻ ban_đầu cho người cao_tuổi tại nơi cư_trú ;,Social
Giúp_việc Hội_đồng tuyển_dụng ( Uỷ_viên kiêm thư_ký Hội_đồng tuyển_dụng ) .,Politics
Chương_II : Nội_dung chính_sách,Politics
Bố cứ nghỉ ở nhà cho khoẻ .,Usual
"Xác_định ý_nghĩa và tầm quan_trọng đó , trong thời_gian qua , Huyện_uỷ Vĩnh_Thạnh đã chú_trọng triển_khai thực_hiện tốt công_tác chuẩn_bị Đại_hội theo tinh_thần Chỉ_thị số 35 của Bộ_Chính_trị và Kế_hoạch số 58 của Ban Thường_vụ Tỉnh_uỷ Bình_Định về Đại_hội Đảng_bộ các cấp , tiến tới Đại_hội đại_biểu toàn_quốc lần thứ XIII của Đảng",Politics
"Thông_số thiết_kế kênh bê_tông mặt_cắt chữ_nhật gồm 123 mặt_cắt , có kích_thước chiều rộng B ( m ) , chiều cao H ( m ) , chiều dày t ( m ) ; trong đó cần xác_định cao_độ mực nước khống_chế tưới , độ dốc đáy kênh , diện_tích tưới , lưu_lượng thiết_kế để chọn kích_thước mặt_cắt kênh tại Phụ_lục 2 .",Politics
"Chủ_tịch Uỷ_ban_nhân_dân các huyện , thị_xã , thành_phố",Politics
"Nghị_định số 92/2017/NĐ-CP ngày 07 tháng 8 năm 2017 của Chính_phủ sửa_đổi , bổ_sung một_số điều của các nghị_định liên_quan đến kiểm_soát thủ_tục hành_chính ;",Politics
"Sau khi công_bố kết_quả điểm vòng 2 , điểm phúc_khảo vòng 2 ( nếu có )",Politics
"Các xã Nhơn_Lý , Nhơn_Hải , Nhơn_Hội , Nhơn_Châu , Phước_Mỹ thuộc thành_phố Quy_Nhơn và các thôn , xã miền núi theo quy_định hiện_hành của Nhà_nước .",Social
"Trong năm 2019 , các cấp Hội nông_dân đã phối_hợp với các ngành liên_quan đẩy_mạnh công_tác tuyên_truyền , vận_động nông_dân thực_hiện tốt các chủ_trương về chuyển_đổi cơ_cấu kinh_tế ở nông_thôn , chuyển_đổi cơ_cấu cây_trồng , vật_nuôi theo chủ_trương chung của huyện",Social
"Tại xã Vĩnh_An , huyện Tây_Sơn sẽ bán phục_vụ nhân_dân tại Cửa_hàng Trung_tâm cụm xã Vĩnh_An , huyện Tây_Sơn , sẽ phục_vụ thường_xuyên , liên_tục trước , trong và sau tết",Social
Nguyên_tắc và điều_kiện thực_hiện Chương_trình,Social
"Để thực_hiện chức_năng , nhiệm_vụ được giao theo Quy_chế làm_việc của Sở Văn_hoá , Thể_thao và Du_lịch .",Politics
Lai_tạo bò Zebu và bò Drought master :,Usual
Hội_đồng_Nhân_dân tỉnh Bình_Định,Politics
"Đã góp_phần tăng_cường mối quan_hệ , giới_thiệu sự đa_dạng , phong_phú của Võ_Bình_Định với các tỉnh_thành trong cả nước và với trên 30 quốc_gia và vùng lãnh_thổ trên thế_giới .",Social
"Việc triển_khai thực_hiện các chương_trình , dự_án mà trong đó tiêu_biểu là Chương_trình mục_tiêu quốc_gia giảm nghèo bền_vững và các chính_sách giảm nghèo thời_gian qua ở huyện Vĩnh_Thạnh luôn có sự phối_hợp tốt giữa các cấp , các ngành trong quá_trình tổ_chức thực_hiện",Social
"Ở ngoài sân , bà Yôl đang nói_chuyện với 4 người lạ .",Usual
"Qua họp xét , có 337 thanh_niên đủ điều_kiện gọi khám sức_khoẻ thực_hiện nghĩa_vụ_quân_sự năm 2020",Social
"Lúc trước , mình đang đi học lớp chín ở trường làng .",Usual
Cháu giúp anh_trai chẻ lạt đi .,Usual
Lãnh_đạo Ban Quản_lý Di_tích gồm Giám_đốc và không quá 02 Phó Giám_đốc .,Politics
"Trình_độ chuyên_môn : Tốt_nghiệp trung_cấp trở lên các chuyên_ngành : Tài_chính , kế_toán , kiểm_toán .",Politics
Phần nghi_lễ khai_mạc :,Politics
Ông đang đan một cái nữa .,Usual
"Có nhiều loài chim hót hay như : vành_khuyên , nhồng , cu_đất nhưng chim vành_khuyên hót hay nhất .",Usual
"Qua lớp tập_huấn , các học_viên được trang_bị các kiến_thức về các nguyên_tắc , cách_thức xây_dựng và hoàn_thiện quy_chế hoạt_động ; Các bước lập kế_hoạch sản_xuất ; Kế_hoạch hoạt_động của tổ , nhóm ; Trong đó chú_trọng việc xây_dựng được kế_hoạch sản_xuất của các thành_viên trong tổ gắn với kế_hoạch tiêu thuản phẩm .",Social
Vì đánh nhau với khỉ nhà khác đấy .,Usual
"Bác ơi , đây là làng gì ạ ?",Usual
"Ngày_mai , Yôl thường thả dê ở bãi có gần hồ , rồi đi lấy củi .",Usual
"Nội_dung , mức hỗ_trợ",Social
Giúp_UBND tỉnh chỉ_đạo triển_khai kế_hoạch tổ_chức các hoạt_động Liên_hoan Quốc_tế Võ cổ_truyền Việt_Nam lần thứ VII năm 2019 .,Politics
Xế trưa mới đan được 10 cái .,Usual
"Hoà cùng niềm vui chung của các thầy_giáo , cô_giáo trên mọi miền đất_nước , những tiếng cười , những bước chân rộn_ràng đến trường của học_sinh và những nỗ_lực , niềm tin của thầy_giáo , cô_giáo vùng_cao huyện Vĩnh_Thạnh sẽ hứa_hẹn một năm_học mới với nhiều thành_công",Social
Làng có khoảng trên một_ngàn gia_đình người Kinh .,Social
Dượng đang đan 7 cái nữa .,Usual
"Buổi chiều , tớ đang đi học lớp 7 ở trường làng .",Usual
"Hôm_nay , Yôl thường thả mèo rừng ở bãi có gần hồ , rồi đi lấy củi .",Usual
"Cơ_quan phối_hợp : Các sở , ban , ngành , đoàn_thể tỉnh , cơ_quan , tổ_chức có liên_quan .",Politics
Công_trình Kè chống xói_lở bờ sông Kôn có ý_nghĩa hết_sức quan_trọng,Social
Địa_điểm : Tại thành_phố Quy_Nhơn .,Politics
"Tại buổi Lễ ra_mắt , Ban chỉ_đạo Mô_hình đã thông_qua kế_hoạch và quy_chế hoạt_động , ký_kết thực_hiện bảo_vệ môi_trường",Politics
"Các nội_dung có cụm_từ "" Làng văn_hoá "" , "" Khu_phố văn_hoá "" trong Mục_Cấp công_nhận được hiểu là "" Làng văn_hoá "" , "" Thôn văn_hoá "" , "" Khu_phố văn_hoá "" .",Social
"Hồ_sơ đề_nghị xét công_nhận nghề truyền_thống , làng_nghề , làng_nghề truyền_thống phải gửi đến các thành_viên Hội_đồng",Social
"Có 4 buổi : buổi sáng , buổi trưa , buổi chiều và buổi tối .",Usual
Em My đi chăn trâu .,Usual
"Ở ngoài sân , anh Yôl đang nói_chuyện với một người lạ .",Usual
Anh thường đi trông rẫy thuê cho những nhà giàu ở trong vùng .,Usual
Ba đang đan bốn cái nữa .,Usual
"Ở ngoài sân , mẹ Yôl đang nói_chuyện với chín người lạ .",Usual
"Tăng_cường năng_lực cho Sở Tài_nguyên và Môi_trường thực_hiện tốt chức_năng , nhiệm_vụ là cơ_quan thường_trực giúp UBND tỉnh quản_lý_nhà_nước tổng_hợp và thống_nhất về biển , hải_đảo theo Chương_trình hành_động số 22 - CTr / TU , Nghị_quyết số 36 - NQ / TW .",Politics
"Chỉ_đạo các nhà_thầu tập_trung mọi nguồn_lực để đẩy nhanh tiến_độ thi_công công_trình liên_quan đến đê_điều xong trước mùa mưa_bão và xây_dựng phương_án bảo_an toàn cho các công_trình đê_kè , cầu , cống , ngầm tràn đang triển_khai thi_công",Social
"Được cung_cấp miễn_phí các thiết_kế mẫu , thiết_kế điển_hình về nhà ở cũng như các tiến_bộ khoa_học_kỹ_thuật về thi_công , xây_lắp nhằm giảm giá_thành xây_dựng công_trình ;",Social
"Đã đầu_tư các công_trình : ( i ) cảng cá Quy_Nhơn , cảng cá Đề_Gi , cảng cá Tam_Quan ; ( ii ) bến cá Tân_Phụng , bến cá Nhơn_Lý . Các công_trình đã phát_huy hiệu_quả , thiết_thực cho ngư_dân hoạt_động khai_thác , vận_chuyển thuỷ_sản .",Social
Câu hỏi làm cả lớp ồn_ào .,Usual
"Trong 02 năm_học qua , công_tác Đội và phong_trào thiếu_nhi của huyện đã có nhiều chuyển_biến tích_cực .",Social
Hiện_nay_khỉ càng_ngày_càng ít .,Usual
"Điều 10 . Chính_sách khuyến_khích phát_triển hệ_thống sản_xuất , dịch_vụ giống cây_trồng , liên_kết sản_xuất gắn với tiêu_thụ nông_sản xây_dựng cánh đồng lớn",Politics
"Thực_hiện chính_sách hỗ_trợ phụ_nữ thuộc hộ nghèo là người dân_tộc_thiểu_số , sinh con đúng chính_sách dân_số theo Nghị_định số 39 của Chính_phủ .",Politics
